Año,Fecha,Mes,Día de la semana,Día,Tema,Sub Tema,Línea,Estación
2016,1/1/2016,1/1/2016,Friday,1,Estaciones,INFRAESTRUCTURA DE ESTACIONES - SUBTE,Sin especificar,Sin especificar
2016,1/3/2016,1/3/2016,Sunday,3,Coches,FUNCIONAMIENTO/ MANTENIMIENTO DE COCHES - SUBTE,B,FEDERICO LACROZE
2016,1/4/2016,1/4/2016,Monday,4,Demoras e Interrupciones,INTERRUPCIONES - SUBTE,E,BELGRANO
2016,1/4/2016,1/4/2016,Monday,4,Demoras e Interrupciones,DEMORAS - SUBTE,E,BOLIVAR
2016,1/4/2016,1/4/2016,Monday,4,Accesos cerrados,ACCESOS CERRADOS - SUBTE,D,BULNES
2016,1/4/2016,1/4/2016,Monday,4,inconvenientes con personal,inconvenientes con personal - SUBTE,D,CONGRESO DE TUCUMAN
2016,1/4/2016,1/4/2016,Monday,4,Temperaturas,ALTAS - BAJAS TEMPERATURAS - SUBTE,B,FEDERICO LACROZE
2016,1/4/2016,1/4/2016,Monday,4,Temperaturas,ALTAS - BAJAS TEMPERATURAS - SUBTE,B,FEDERICO LACROZE
2016,1/4/2016,1/4/2016,Monday,4,Demoras e Interrupciones,INTERRUPCIONES - SUBTE,B,FEDERICO LACROZE
2016,1/4/2016,1/4/2016,Monday,4,Estaciones,FILTRACIONES - SUBTE,B,URUGUAY
2016,1/4/2016,1/4/2016,Monday,4,Emergencias,ELEMENTOS PARA URGENCIAS Y/O EMERGENCIAS - SUBTE,Sin especificar,Sin especificar
2016,1/4/2016,1/4/2016,Monday,4,inconvenientes con personal,inconvenientes con personal - SUBTE,A,LIMA
2016,1/4/2016,1/4/2016,Monday,4,Seguridad,DESEMPEÑO DE EFECTIVOS DE SEGURIDAD - SUBTE,A,PIEDRAS
2016,1/4/2016,1/4/2016,Monday,4,Demoras e Interrupciones,DEMORAS - SUBTE,E,INDEPENDENCIA_E
2016,1/4/2016,1/4/2016,Monday,4,Estaciones,INFRAESTRUCTURA DE ESTACIONES - SUBTE,E,PLAZA DE LOS VIRREYES
2016,1/4/2016,1/4/2016,Monday,4,Otros,WIFI - SUBTE,A,CASTRO BARROS
2016,1/4/2016,1/4/2016,Monday,4,Falta de limpieza,LIMPIEZA - SUBTE,A,SAN PEDRITO
2016,1/4/2016,1/4/2016,Monday,4,Seguridad,DESEMPEÑO DE EFECTIVOS DE SEGURIDAD - SUBTE,A,PUAN
